sql> call reaction_art_tml('2019-04-02T13:00Z','2019-04-02T22:00Z');
+--------------+---------------------+---------------------+
| Proc Version | Timebox Start       | Timebox End         |
+--------------+---------------------+---------------------+
| 1.1a         | 2019-04-02 13:00:00 | 2019-04-02 22:00:00 |
+--------------+---------------------+---------------------+
1 row in set (0.00 sec)

+-------+-------------+--------------+---------------+
| ident | xref_id     | pending_time | reaction_time |
+-------+-------------+--------------+---------------+
| 29597 | caagc-46103 |        0.010 |         0.015 |
| 29602 | caagc-46553 |        0.009 |         0.015 |
| 29603 | caagc-45612 |        0.011 |         0.015 |
| 29605 | jira-12313  |        0.011 |         0.015 |
| 29607 | caagc-46563 |        0.009 |         0.015 |
| 29608 | jira-12314  |        0.011 |         0.015 |
| 29609 | jira-12315  |        0.010 |         0.015 |
| 29618 | caagc-45782 |        0.011 |         0.015 |
| 29595 | caagc-45909 |        0.009 |         0.016 |
| 29610 | jira-12259  |        0.011 |         0.016 |
| 29611 | caagc-46564 |        0.009 |         0.016 |
| 29612 | jira-12801  |        0.009 |         0.016 |
| 29616 | caagc-45648 |        0.009 |         0.016 |
| 29617 | jira-12310  |        0.012 |         0.016 |
| 29620 | caagc-46013 |        0.010 |         0.016 |
| 29621 | caagc-46558 |        0.012 |         0.016 |
| 29622 | jira-12802  |        0.011 |         0.016 |
| 29623 | jira-12290  |        0.013 |         0.016 |
| 29626 | jira-12312  |        0.019 |         0.016 |
| 29629 | caagc-46017 |        0.009 |         0.016 |
| 29592 | caagc-45863 |        0.008 |         0.017 |
| 29593 | caagc-45658 |        0.009 |         0.017 |
| 29599 | jira-12796  |        0.010 |         0.017 |
| 29619 | jira-12317  |        0.012 |         0.017 |
| 29594 | caagc-45867 |        0.011 |         0.018 |
| 29600 | jira-12301  |        0.009 |         0.018 |
| 29604 | caagc-46102 |        0.009 |         0.020 |
| 29606 | caagc-45897 |        0.009 |         0.021 |
| 29601 | caagc-45870 |        0.036 |         0.022 |
| 29627 | caagc-45668 |        0.010 |         0.022 |
| 29631 | caagc-45649 |        0.010 |         0.023 |
| 29613 | jira-12302  |        0.013 |         0.025 |
| 29614 | jira-12793  |        0.015 |         0.026 |
| 29615 | jira-12316  |        0.011 |         0.026 |
| 29598 | jira-12260  |        0.011 |         0.029 |
| 29596 | jira-12300  |        0.012 |         0.032 |
| 29630 | caagc-45614 |        0.009 |         0.037 |
| 29624 | caagc-45667 |        0.017 |         0.040 |
| 29625 | jira-12800  |        0.032 |         0.040 |
| 29306 | jira-17711  |        0.007 |         0.070 |
| 29329 | jira-17719  |        0.008 |         0.071 |
| 29189 | jira-12404  |        0.131 |         0.075 |
| 29256 | jira-17687  |        0.013 |         0.077 |
| 29331 | jira-11964  |        0.009 |         0.077 |
| 29225 | jira-17661  |        0.009 |         0.080 |
| 29328 | jira-11942  |        0.009 |         0.083 |
| 29190 | jira-12403  |        0.008 |         0.089 |
| 29187 | jira-12401  |        0.007 |         0.091 |
| 29188 | jira-12463  |        0.007 |         0.092 |
| 29325 | caagc-46117 |        0.008 |         0.092 |
| 29326 | jira-17717  |        0.008 |         0.093 |
| 29287 | jira-17701  |        0.009 |         0.096 |
| 29330 | jira-17718  |        0.013 |         0.096 |
